code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,year,quarter
600785,新华百货,7.45,9.85,15.2192,20.2054,0.2296,205.0161,2.3303,2000,2
600664,哈药股份,7.42,3.09,52.6706,118.2692,0.2623,3818.0425,8.4683,2000,2
600365,通葡股份,7.39,14.46,57.0825,8.1124,0.1014,56.0884,0.7011,2000,2
600056,中国医药,7.37,3.76,3.3432,29.3473,0.2445,778.7954,6.4899,2000,2
000995,皇台酒业,7.36,14.05,51.7599,11.7845,0.1178,83.8452,0.8384,2000,2
600293,三峡新材,7.33,10.63,31.331,19.8883,0.0942,186.9234,0.8858,2000,2
600122,宏图高科,7.3,7.73,15.4335,40.1817,0.2041,519.2138,2.6382,2000,2
000801,四川九洲,7.28,29.06,34.4566,13.2842,0.1307,45.6984,0.4499,2000,2
600085,同仁堂,7.27,11.69,45.0494,59.5596,0.2481,509.4717,2.1227,2000,2
000554,泰山石油,7.25,9.29,14.8329,51.4114,0.1603,552.8582,1.7248,2000,2
600094,大名城,7.23,8.57,15.5373,63.0936,0.1469,735.828,1.7138,2000,2
600081,东风科技,7.22,18.64,25.9851,29.7942,0.2223,159.8209,1.1926,2000,2
000880,潍柴重机,7.21,4.23,9.1433,37.0936,0.2149,876.2309,5.0773,2000,2
600151,航天机电,7.2,14.37,30.7095,59.58,0.21899999999999997,414.3282,1.5232,2000,2
600771,广誉远,7.16,11.36,24.9975,18.4452,0.0986,162.3245,0.8685,2000,2
600382,广东明珠,7.14,8.98,24.2652,12.709000000000001,0.0743,141.4717,0.8279,2000,2
600172,黄河旋风,7.14,20.04,36.7277,33.0575,0.1354,164.9307,0.6759,2000,2
000060,中金岭南,7.08,5.52,21.8843,80.0533,0.1853,1449.6071,3.3555,2000,2
000933,神火股份,7.08,21.65,36.9321,58.7614,0.2569,271.3677,1.1866,2000,2
000623,吉林敖东,7.08,29.0,62.7342,50.882,0.2603,175.4477,0.8975,2000,2
600180,瑞茂通,7.05,18.91,26.5861,31.1302,0.1634,164.5707,0.8643,2000,2
000150,宜华健康,7.01,6.36,18.4579,9.3631,0.0851,147.0854,1.3371,2000,2
600118,中国卫星,7.0,12.62,18.507,19.7528,0.1042,156.4918,0.8257,2000,2
600720,祁连山,6.97,21.48,33.8337,25.1148,0.1996,116.9087,0.9295,2000,2
000962,东方钽业,6.96,12.68,30.1879,57.8532,0.3506,455.9207,2.7631,2000,2
600766,园城黄金,6.9,12.25,23.2631,17.6612,0.1656,144.0928,1.3516,2000,2
600160,巨化股份,6.9,10.79,27.4763,71.3974,0.2093,661.4712,1.9397,2000,2
600323,瀚蓝环境,6.87,29.58,52.1985,18.16,0.087,61.3844,0.2943,2000,2
600358,国旅联合,6.87,12.52,45.821999999999996,9.4733,0.1052,75.6582,0.8406,2000,2
000825,太钢不锈,6.87,6.54,10.9983,146.391,0.1554,2237.4754,2.3752,2000,2
600800,天津磁卡,6.82,42.88,33.7771,73.6394,0.2002,171.6975,0.4668,2000,2
600787,中储股份,6.81,15.21,32.8233,32.2869,0.113,212.2053,0.7427,2000,2
600009,上海机场,6.8,83.16,80.4914,285.6463,0.2115,343.4752,0.2544,2000,2
600064,南京高科,6.79,13.52,26.549,71.5935,0.20800000000000002,529.1936,1.5377,2000,2
600091,ST明科,6.78,16.57,25.4078,55.0601,0.243,332.2526,1.4667,2000,2
600728,佳都科技,6.78,9.6,24.4644,32.1907,0.1699,335.3198,1.7698,2000,2
600682,南京新百,6.75,5.62,18.7774,37.266,0.1949,662.3234,3.4644,2000,2
000876,新希望,6.72,11.68,19.8024,36.8773,0.2025,315.7247,1.7345,2000,2
600378,天科股份,6.72,12.0,22.5222,8.0105,0.1132,66.7452,0.9437,2000,2
000519,中兵红箭,6.69,14.46,38.2287,13.5413,0.106,93.6376,0.7329,2000,2
600155,宝硕股份,6.69,8.01,20.0957,42.7063,0.2135,532.8827,2.6644,2000,2
600654,*ST中安,6.68,19.67,37.0851,45.5482,0.1215,231.5569,0.6178,2000,2
600699,均胜电子,6.66,16.66,26.0073,17.0407,0.1286,102.2553,0.7721,2000,2
000810,创维数字,6.62,8.31,18.8878,9.9284,0.1881,119.3865,2.2622,2000,2
600690,青岛海尔,6.58,6.72,16.7733,181.9003,0.3221,2706.7669,4.7932,2000,2
600163,中闽能源,6.56,12.93,27.5285,57.3295,0.2061,443.3515,1.5943,2000,2
600096,云天化,6.53,24.39,41.5752,105.0435,0.1848,430.6631,0.7579,2000,2
600198,大唐电信,6.51,10.83,33.9716,82.1774,0.2625,758.6761,2.4238,2000,2
600186,莲花健康,6.5,13.64,29.1364,88.7229,0.1478,650.1947,1.0836,2000,2
000926,福星股份,6.5,17.74,33.194,38.6797,0.1885,218.0336,1.0628,2000,2
000913,钱江摩托,6.5,3.25,17.7696,50.9907,0.1961,1568.8321,6.0339,2000,2
000036,华联控股,6.49,5.48,19.6474,55.6695,0.2322,1014.4053,4.2319,2000,2
600626,申达股份,6.49,4.48,12.3008,55.4308,0.2005,1236.3327,4.4732,2000,2
000538,云南白药,6.49,6.52,28.9068,26.1306,0.1406,400.3165,2.1543,2000,2
600252,中恒集团,6.48,15.36,36.0963,9.8068,0.0773,63.8111,0.5035,2000,2
600718,东软集团,6.46,18.64,39.6376,78.8197,0.28,422.8487,1.5023,2000,2
000777,中核科技,6.43,16.36,28.8337,18.2465,0.152,111.5066,0.9292,2000,2
000938,紫光股份,6.43,12.37,22.3182,41.5124,0.2014,335.4,1.6275,2000,2
